time_s	dy_m
0.000000	0.000003
0.033344	-0.000007
0.066688	0.000880
0.100032	0.001765
0.133375	-0.000884
0.166719	0.000867
0.200063	0.000003
0.233407	0.000003
0.266751	0.000003
0.300095	0.000003
0.333438	0.000003
0.366782	0.000003
0.400126	0.000003
0.433470	0.000003
0.466814	0.000003
0.500158	0.000003
0.533501	0.000003
0.566845	0.000003
0.600189	0.000003
0.633533	0.000003
0.666877	0.000003
0.700221	0.001796
0.733565	0.000003
0.766908	0.000003
0.800252	0.001796
0.833596	0.000003
0.866940	0.000003
0.900284	0.001796
0.933628	0.001794
0.966971	0.001787
1.000315	0.000890
1.033659	0.000890
1.067003	0.000890
1.100347	0.000890
1.133691	0.000890
1.167034	0.000890
1.200378	0.000890
1.233722	0.000890
1.267066	0.000890
1.300410	0.000890
1.333754	0.002683
1.367098	0.000890
1.400441	0.000890
1.433785	0.000890
1.467129	0.002681
1.500473	0.002681
1.533817	0.000890
1.567161	0.002683
1.600504	0.002681
1.633848	0.002681
1.667192	0.000890
1.700536	0.002683
1.733880	0.002678
1.767224	0.002678
1.800567	0.002683
1.833911	0.002678
1.867255	0.002674
1.900599	0.003571
1.933943	0.001777
1.967287	0.001777
2.000630	0.003571
2.033974	0.003569
2.067318	0.001777
2.100662	0.003571
2.134006	0.003569
2.167350	0.003569
2.200694	0.003571
2.234037	0.003569
2.267381	0.003569
2.300725	0.003571
2.334069	0.003569
2.367413	0.003569
2.400757	0.003571
2.434100	0.003569
2.467444	0.003569
2.500788	0.003571
2.534132	0.003569
2.567476	0.003566
2.600820	0.003561
2.634163	0.004458
2.667507	0.002665
2.700851	0.002665
2.734195	0.002665
2.767539	0.004456
2.800883	0.004456
2.834227	0.004456
2.867570	0.002665
2.900914	0.004458
2.934258	0.004456
2.967602	0.004456
3.000946	0.004458
3.034290	0.004456
3.067633	0.004456
3.100977	0.004458
3.134321	0.004456
3.167665	0.004456
3.201009	0.004449
3.234353	0.005345
3.267696	0.003552
3.301040	0.003552
3.334384	0.005346
3.367728	0.003552
3.401072	0.003552
3.434416	0.003578
3.467760	0.004442
3.501103	0.004443
3.534447	0.004442
3.567791	0.004442
3.601135	0.004442
3.634479	0.004443
3.667823	0.004442
3.701166	0.004439
3.734510	0.004443
3.767854	0.004442
3.801198	0.004442
3.834542	0.004439
3.867886	0.004439
3.901229	0.004463
3.934573	0.005330
3.967917	0.005354
4.001261	0.004451
4.034605	0.005345
4.067949	0.005338
4.101293	0.006231
4.134636	0.006232
4.167980	0.006231
4.201324	0.006231
4.234668	0.006232
4.268012	0.006231
4.301356	0.006231
4.334699	0.006232
4.368043	0.006231
4.401387	0.006231
4.434731	0.006233
4.468075	0.006231
4.501419	0.006231
4.534762	0.006231
4.568106	0.006232
4.601450	0.006231
4.634794	0.006231
4.668138	0.006232
4.701482	0.006231
4.734825	0.006231
4.768169	0.006232
4.801513	0.006231
4.834857	0.006231
4.868201	0.006232
4.901545	0.006231
4.934889	0.006231
4.968232	0.006232
5.001576	0.006231
5.034920	0.006231
5.068264	0.006232
5.101608	0.006231
5.134952	0.006230
5.168295	0.006232
5.201639	0.006231
5.234983	0.006232
5.268327	0.006231
5.301671	0.006231
5.335015	0.006232
5.368358	0.006231
5.401702	0.006231
5.435046	0.006232
5.468390	0.006231
5.501734	0.006231
5.535078	0.006232
5.568422	0.006231
5.601765	0.006231
5.635109	0.006232
5.668453	0.006231
5.701797	0.006227
5.735141	0.006232
5.768485	0.006231
5.801828	0.006227
5.835172	0.006232
5.868516	0.006227
5.901860	0.006226
5.935204	0.005327
5.968548	0.007121
6.001891	0.007118
6.035235	0.007118
6.068579	0.007121
6.101923	0.007118
6.135267	0.007118
6.168611	0.007118
6.201955	0.007121
6.235298	0.007118
6.268642	0.007118
6.301986	0.007121
6.335330	0.007118
6.368674	0.007118
6.402018	0.007121
6.435361	0.007118
6.468705	0.007118
6.502049	0.007121
6.535393	0.007118
6.568737	0.007118
6.602081	0.007121
6.635424	0.007118
6.668768	0.007118
6.702112	0.007121
6.735456	0.007118
6.768800	0.007113
6.802144	0.006239
6.835488	0.007129
6.868831	0.006226
6.902175	0.007120
6.935519	0.007111
6.968863	0.006239
7.002207	0.007127
7.035551	0.008016
7.068894	0.007117
7.102238	0.007113
7.135582	0.008005
7.168926	0.008005
7.202270	0.008008
7.235614	0.008005
7.268957	0.008005
7.302301	0.008008
7.335645	0.008005
7.368989	0.008005
7.402333	0.008008
7.435677	0.008005
7.469021	0.008004
7.502364	0.008008
7.535708	0.008005
7.569052	0.008005
7.602396	0.008007
7.635740	0.008001
7.669084	0.008004
7.702427	0.007998
7.735771	0.007128
7.769115	0.008015
7.802459	0.008907
7.835803	0.008907
7.869147	0.008907
7.902490	0.008907
7.935834	0.008908
7.969178	0.008908
8.002522	0.008908
8.035866	0.008907
8.069210	0.008907
8.102553	0.008907
8.135897	0.008907
8.169241	0.008907
8.202585	0.008907
8.235929	0.008907
8.269273	0.008907
8.302617	0.008907
8.335960	0.008907
8.369304	0.008907
8.402648	0.008907
8.435992	0.008903
8.469336	0.008000
8.502680	0.008894
8.536023	0.008887
8.569367	0.008014
8.602711	0.008902
8.636055	0.009790
8.669399	0.008887
8.702743	0.009780
8.736086	0.009780
8.769430	0.009780
8.802774	0.009783
8.836118	0.009780
8.869462	0.009783
8.902806	0.009780
8.936150	0.009780
8.969493	0.009780
9.002837	0.009782
9.036181	0.009780
9.069525	0.009779
9.102869	0.009782
9.136213	0.009779
9.169556	0.009775
9.202900	0.008901
9.236244	0.009790
9.269588	0.010682
9.302932	0.010682
9.336276	0.010685
9.369619	0.010685
9.402963	0.010688
9.436307	0.009790
9.469651	0.010688
9.502995	0.009790
9.536339	0.010688
9.569683	0.009790
9.603026	0.010688
9.636370	0.009790
9.669714	0.010658
9.703058	0.009789
9.736402	0.010682
9.769746	0.010682
9.803089	0.008886
9.836433	0.009776
9.869777	0.009779
9.903121	0.009782
9.936465	0.009779
9.969809	0.009779
10.003152	0.009782
10.036496	0.009776
10.069840	0.009779
10.103184	0.009782
10.136528	0.009776
10.169872	0.009779
10.203216	0.009782
10.236559	0.009779
10.269903	0.009773
10.303247	0.008896
10.336591	0.010657
10.369935	0.009788
10.403279	0.010683
10.436622	0.010683
10.469966	0.010657
10.503310	0.009789
10.536654	0.010678
10.569998	0.009775
10.603342	0.010669
10.636685	0.010662
10.670029	0.009788
10.703373	0.010678
10.736717	0.011569
10.770061	0.011569
10.803405	0.011569
10.836749	0.011570
10.870092	0.011570
10.903436	0.011569
10.936780	0.011570
10.970124	0.011570
11.003468	0.011570
11.036812	0.011569
11.070155	0.011570
11.103499	0.011544
11.136843	0.010677
11.170187	0.011569
11.203531	0.011569
11.236875	0.011569
11.270218	0.011569
11.303562	0.011569
11.336906	0.011569
11.370250	0.011569
11.403594	0.011569
11.436938	0.011565
11.470281	0.012463
11.503625	0.011565
11.536969	0.012463
11.570313	0.011565
11.603657	0.012456
11.637001	0.012456
11.670345	0.012456
11.703688	0.012456
11.737032	0.012456
11.770376	0.012456
11.803720	0.012456
11.837064	0.012456
11.870408	0.012456
11.903751	0.012456
11.937095	0.012456
11.970439	0.012456
12.003783	0.012456
12.037127	0.012452
12.070471	0.011553
12.103814	0.011549
12.137158	0.012441
12.170502	0.012444
12.203846	0.012441
12.237190	0.012441
12.270534	0.012444
12.303878	0.012444
12.337221	0.012444
12.370565	0.012441
12.403909	0.012441
12.437253	0.012444
12.470597	0.012441
12.503941	0.012441
12.537284	0.012444
12.570628	0.012443
12.603972	0.012441
12.637316	0.012443
12.670660	0.012441
12.704004	0.012437
12.737347	0.013332
12.770691	0.013332
12.804035	0.013332
12.837379	0.013329
12.870723	0.013329
12.904067	0.013332
12.937411	0.013332
12.970754	0.013332
13.004098	0.013332
13.037442	0.013332
13.070786	0.013332
13.104130	0.013332
13.137474	0.013328
13.170817	0.013324
13.204161	0.012450
13.237505	0.013339
13.270849	0.014231
13.304193	0.014231
13.337537	0.014231
13.370880	0.014231
13.404224	0.014231
13.437568	0.014231
13.470912	0.014231
13.504256	0.014231
13.537600	0.014231
13.570944	0.014231
13.604287	0.014231
13.637631	0.014231
13.670975	0.014231
13.704319	0.014231
13.737663	0.014227
13.771007	0.013324
13.804350	0.014216
13.837694	0.014215
13.871038	0.014219
13.904382	0.014215
13.937726	0.014215
13.971070	0.014219
14.004413	0.014215
14.037757	0.014215
14.071101	0.014239
14.104445	0.015103
14.137789	0.015106
14.171133	0.015103
14.204476	0.015103
14.237820	0.015106
14.271164	0.015103
14.304508	0.015103
14.337852	0.015106
14.371196	0.015102
14.404540	0.015102
14.437883	0.015106
14.471227	0.015102
14.504571	0.015102
14.537915	0.016899
14.571259	0.016005
14.604603	0.016006
14.637946	0.016006
14.671290	0.016006
14.704634	0.016006
14.737978	0.016006
14.771322	0.016005
14.804666	0.016005
14.838009	0.016005
14.871353	0.016005
14.904697	0.016005
14.938041	0.016005
14.971385	0.016005
15.004729	0.016001
15.038073	0.015097
15.071416	0.015990
15.104760	0.015991
15.138104	0.015994
15.171448	0.015990
15.204792	0.015990
15.238136	0.015994
15.271479	0.015990
15.304823	0.015990
15.338167	0.017787
15.371511	0.016894
15.404855	0.016894
15.438199	0.016894
15.471542	0.016893
15.504886	0.016893
15.538230	0.016894
15.571574	0.016893
15.604918	0.016893
15.638262	0.016893
15.671606	0.016893
15.704949	0.016893
15.738293	0.016893
15.771637	0.016893
15.804981	0.016893
15.838325	0.016893
15.871669	0.016893
15.905012	0.016893
15.938356	0.016888
15.971700	0.017780
16.005044	0.017780
16.038388	0.017781
16.071732	0.017781
16.105075	0.017781
16.138419	0.017781
16.171763	0.017781
16.205107	0.017781
16.238451	0.017781
16.271795	0.017781
16.305139	0.017781
16.338482	0.017780
16.371826	0.017780
16.405170	0.017780
16.438514	0.017780
16.471858	0.017780
16.505202	0.017781
16.538545	0.017781
16.571889	0.017781
16.605233	0.017780
16.638577	0.017780
16.671921	0.017776
16.705265	0.018667
16.738608	0.018667
16.771952	0.018667
16.805296	0.018667
16.838640	0.018667
16.871984	0.018667
16.905328	0.018667
16.938672	0.018667
16.972015	0.018667
17.005359	0.018667
17.038703	0.018667
17.072047	0.018667
17.105391	0.018667
17.138735	0.018667
17.172078	0.018667
17.205422	0.018666
17.238766	0.018666
17.272110	0.018664
17.305454	0.019558
17.338798	0.019558
17.372141	0.019554
17.405485	0.019558
17.438829	0.019554
17.472173	0.019558
17.505517	0.019558
17.538861	0.019558
17.572204	0.019554
17.605548	0.019555
17.638892	0.019555
17.672236	0.019555
17.705580	0.019555
17.738924	0.019554
17.772268	0.019554
17.805611	0.019554
17.838955	0.019554
17.872299	0.019555
17.905643	0.019554
17.938987	0.019555
17.972331	0.019554
18.005674	0.019554
18.039018	0.019554
18.072362	0.019554
18.105706	0.019554
18.139050	0.019554
18.172394	0.019554
18.205737	0.019551
18.239081	0.020446
18.272425	0.020446
18.305769	0.020446
18.339113	0.020438
18.372457	0.019542
18.405801	0.019539
18.439144	0.019562
18.472488	0.018661
18.505832	0.019551
18.539176	0.020443
18.572520	0.020443
18.605864	0.020443
18.639207	0.020443
18.672551	0.020443
18.705895	0.020443
18.739239	0.020443
18.772583	0.020442
18.805927	0.020442
18.839270	0.020442
18.872614	0.020442
18.905958	0.020443
18.939302	0.020443
18.972646	0.020444
19.005990	0.020444
19.039334	0.020444
19.072677	0.020444
19.106021	0.020444
19.139365	0.020444
19.172709	0.020444
19.206053	0.020444
19.239397	0.020444
19.272740	0.020442
19.306084	0.020442
19.339428	0.020434
19.372772	0.021329
19.406116	0.021329
19.439460	0.021329
19.472803	0.021328
19.506147	0.021325
19.539491	0.020426
19.572835	0.020422
19.606179	0.021337
19.639523	0.020439
19.672867	0.021330
19.706210	0.021330
19.739554	0.021330
19.772898	0.021330
19.806242	0.021329
19.839586	0.021329
19.872930	0.021329
19.906273	0.021329
19.939617	0.021329
19.972961	0.021329
20.006305	0.021326
20.039649	0.022220
20.072993	0.022220
20.106336	0.022220
20.139680	0.022220
20.173024	0.022216
20.206368	0.022216
20.239712	0.022216
20.273056	0.022216
20.306400	0.022216
20.339743	0.022217
20.373087	0.022216
20.406431	0.022216
20.439775	0.022216
20.473119	0.022218
20.506463	0.022218
20.539806	0.022218
20.573150	0.022218
20.606494	0.022215
20.639838	0.022216
20.673182	0.022216
20.706526	0.022218
20.739869	0.022218
20.773213	0.022216
20.806557	0.022216
20.839901	0.022216
20.873245	0.022216
20.906589	0.022216
