time_s	angle_deg
0.000000	-0.300000
0.033344	0.700000
0.066688	0.700000
0.100032	1.000000
0.133375	-0.300000
0.166719	2.100000
0.200063	-0.300000
0.233407	-0.300000
0.266751	-0.300000
0.300095	-0.300000
0.333438	-0.300000
0.366782	-0.300000
0.400126	-0.300000
0.433470	-0.300000
0.466814	-0.300000
0.500158	-0.300000
0.533501	-0.300000
0.566845	-0.300000
0.600189	-0.300000
0.633533	-0.300000
0.666877	-0.300000
0.700221	-2.200000
0.733565	-0.300000
0.766908	-0.300000
0.800252	-2.200000
0.833596	-0.300000
0.866940	-0.300000
0.900284	-2.200000
0.933628	-2.000000
0.966971	-1.300000
1.000315	-0.300000
1.033659	-0.300000
1.067003	-0.300000
1.100347	-0.300000
1.133691	-0.300000
1.167034	-0.300000
1.200378	-0.300000
1.233722	-0.300000
1.267066	-0.300000
1.300410	-0.300000
1.333754	-2.200000
1.367098	-0.300000
1.400441	-0.300000
1.433785	-0.300000
1.467129	-2.000000
1.500473	-2.000000
1.533817	-0.300000
1.567161	-2.200000
1.600504	-2.000000
1.633848	-2.000000
1.667192	-0.300000
1.700536	-2.200000
1.733880	-1.700000
1.767224	-1.700000
1.800567	-2.200000
1.833911	-1.700000
1.867255	-1.200000
1.900599	-2.200000
1.933943	-0.300000
1.967287	-0.300000
2.000630	-2.200000
2.033974	-2.000000
2.067318	-0.300000
2.100662	-2.200000
2.134006	-2.000000
2.167350	-2.000000
2.200694	-2.200000
2.234037	-2.000000
2.267381	-2.000000
2.300725	-2.200000
2.334069	-2.000000
2.367413	-2.000000
2.400757	-2.200000
2.434100	-2.000000
2.467444	-2.000000
2.500788	-2.200000
2.534132	-2.000000
2.567476	-1.700000
2.600820	-1.200000
2.634163	-2.200000
2.667507	-0.300000
2.700851	-0.300000
2.734195	-0.300000
2.767539	-2.000000
2.800883	-2.000000
2.834227	-2.000000
2.867570	-0.300000
2.900914	-2.200000
2.934258	-2.000000
2.967602	-2.000000
3.000946	-2.200000
3.034290	-2.000000
3.067633	-2.000000
3.100977	-2.200000
3.134321	-2.000000
3.167665	-2.000000
3.201009	-1.300000
3.234353	-2.200000
3.267696	-0.300000
3.301040	-0.300000
3.334384	-2.300000
3.367728	-0.300000
3.401072	-0.300000
3.434416	-3.000000
3.467760	-0.600000
3.501103	-0.700000
3.534447	-0.600000
3.567791	-0.600000
3.601135	-0.600000
3.634479	-0.700000
3.667823	-0.600000
3.701166	-0.300000
3.734510	-0.700000
3.767854	-0.600000
3.801198	-0.600000
3.834542	-0.300000
3.867886	-0.300000
3.901229	-2.700000
3.934573	-0.600000
3.967917	-3.100000
4.001261	-1.500000
4.034605	-2.200000
4.067949	-1.500000
4.101293	-2.000000
4.134636	-2.200000
4.167980	-2.000000
4.201324	-2.000000
4.234668	-2.200000
4.268012	-2.000000
4.301356	-2.000000
4.334699	-2.200000
4.368043	-2.000000
4.401387	-2.000000
4.434731	-2.300000
4.468075	-2.000000
4.501419	-2.000000
4.534762	-2.000000
4.568106	-2.200000
4.601450	-2.000000
4.634794	-2.000000
4.668138	-2.200000
4.701482	-2.000000
4.734825	-2.000000
4.768169	-2.200000
4.801513	-2.000000
4.834857	-2.000000
4.868201	-2.200000
4.901545	-2.000000
4.934889	-2.000000
4.968232	-2.200000
5.001576	-2.000000
5.034920	-2.000000
5.068264	-2.200000
5.101608	-2.000000
5.134952	-1.900000
5.168295	-2.200000
5.201639	-2.000000
5.234983	-2.200000
5.268327	-2.000000
5.301671	-2.000000
5.335015	-2.200000
5.368358	-2.000000
5.401702	-2.000000
5.435046	-2.200000
5.468390	-2.000000
5.501734	-2.000000
5.535078	-2.200000
5.568422	-2.000000
5.601765	-2.000000
5.635109	-2.200000
5.668453	-2.000000
5.701797	-1.600000
5.735141	-2.200000
5.768485	-2.000000
5.801828	-1.600000
5.835172	-2.200000
5.868516	-1.600000
5.901860	-1.500000
5.935204	-0.300000
5.968548	-2.300000
6.001891	-2.000000
6.035235	-2.000000
6.068579	-2.300000
6.101923	-2.000000
6.135267	-2.000000
6.168611	-2.000000
6.201955	-2.300000
6.235298	-2.000000
6.268642	-2.000000
6.301986	-2.300000
6.335330	-2.000000
6.368674	-2.000000
6.402018	-2.300000
6.435361	-2.000000
6.468705	-2.000000
6.502049	-2.300000
6.535393	-2.000000
6.568737	-2.000000
6.602081	-2.300000
6.635424	-2.000000
6.668768	-2.000000
6.702112	-2.300000
6.735456	-2.000000
6.768800	-1.500000
6.802144	-2.900000
6.835488	-3.100000
6.868831	-1.500000
6.902175	-2.200000
6.935519	-1.300000
6.968863	-2.900000
7.002207	-2.900000
7.035551	-3.100000
7.068894	-1.900000
7.102238	-1.500000
7.135582	-2.000000
7.168926	-2.000000
7.202270	-2.300000
7.235614	-2.000000
7.268957	-2.000000
7.302301	-2.300000
7.335645	-2.000000
7.368989	-2.000000
7.402333	-2.300000
7.435677	-2.000000
7.469021	-1.900000
7.502364	-2.300000
7.535708	-2.000000
7.569052	-2.000000
7.602396	-2.200000
7.635740	-1.600000
7.669084	-1.900000
7.702427	-1.300000
7.735771	-3.000000
7.769115	-3.000000
7.802459	-3.500000
7.835803	-3.500000
7.869147	-3.500000
7.902490	-3.500000
7.935834	-3.600000
7.969178	-3.600000
8.002522	-3.600000
8.035866	-3.500000
8.069210	-3.500000
8.102553	-3.500000
8.135897	-3.500000
8.169241	-3.500000
8.202585	-3.500000
